contrast,estimate,SE,df,t.ratio,p.value
ANT A200 A_Wet - VER B700 A_Wet,0.024778489433502523,NA,1051,NA,NA
ANT A200 A_Wet - ALL C1200 A_Wet,0.01587971733392005,NA,1051,NA,NA
ANT A200 A_Wet - ANT C1200 A_Wet,-0.07227085587701086,NA,1051,NA,NA
ANT A200 A_Wet - CN1 C1200 A_Wet,-0.049349641907342326,NA,1051,NA,NA
ANT A200 A_Wet - VER C1200 A_Wet,0.009278740132920042,NA,1051,NA,NA
ANT A200 A_Wet - ALL D1700 A_Wet,-0.0038104941609919535,NA,1051,NA,NA
ANT A200 A_Wet - ANT D1700 A_Wet,-0.030166741382471787,NA,1051,NA,NA
ANT A200 A_Wet - CN1 D1700 A_Wet,-0.04709148086624391,NA,1051,NA,NA
ANT A200 A_Wet - VER D1700 A_Wet,0.009654176079053896,NA,1051,NA,NA
ANT A200 A_Wet - ALL E2200 A_Wet,1.21654629484165e-4,NA,1051,NA,NA
ANT A200 A_Wet - ANT E2200 A_Wet,-0.03850370224860927,NA,1051,NA,NA
ANT A200 A_Wet - CN1 E2200 A_Wet,-0.06995128088611914,NA,1051,NA,NA
ANT A200 A_Wet - VER E2200 A_Wet,-0.08896981722616926,NA,1051,NA,NA
ANT A200 A_Wet - ALL F2700 A_Wet,0.009275330888943424,NA,1051,NA,NA
ANT A200 A_Wet - ANT F2700 A_Wet,-0.07984126777270545,NA,1051,NA,NA
ANT A200 A_Wet - CN1 F2700 A_Wet,-0.042173048268125415,NA,1051,NA,NA
ANT A200 A_Wet - VER F2700 A_Wet,0.0014425075374607122,NA,1051,NA,NA
ANT A200 A_Wet - ALL G3200 A_Wet,0.355117597204825,NA,1051,NA,NA
ANT A200 A_Wet - ANT G3200 A_Wet,-0.6860466420504107,NA,1051,NA,NA
ANT A200 A_Wet - CN1 G3200 A_Wet,-0.03380722685939659,NA,1051,NA,NA
ANT A200 A_Wet - VER G3200 A_Wet,-0.0019142109275797,NA,1051,NA,NA
ANT A200 A_Wet - ALL H3700 A_Wet,0.3503223497644367,NA,1051,NA,NA
ANT A200 A_Wet - ANT H3700 A_Wet,-0.6908418894907989,NA,1051,NA,NA
ANT A200 A_Wet - CN1 H3700 A_Wet,-0.061364631672048045,NA,1051,NA,NA
ANT A200 A_Wet - VER H3700 A_Wet,0.011257451563891026,NA,1051,NA,NA
ANT A200 A_Wet - ALL A200 B_Dry,0.045045951687776906,NA,1051,NA,NA
ANT A200 A_Wet - ANT A200 B_Dry,0.003881712432541235,NA,1051,NA,NA
ANT A200 A_Wet - CN1 A200 B_Dry,-0.020771356599570398,NA,1051,NA,NA
ANT A200 A_Wet - VER A200 B_Dry,0.050953269828903726,NA,1051,NA,NA
ANT A200 A_Wet - ALL B700 B_Dry,0.025611541945123592,NA,1051,NA,NA
ANT A200 A_Wet - ANT B700 B_Dry,-0.0055869838220764575,NA,1051,NA,NA
ANT A200 A_Wet - CN1 B700 B_Dry,1.896909367228518e-4,NA,1051,NA,NA
ANT A200 A_Wet - VER B700 B_Dry,0.03863921150115473,NA,1051,NA,NA
ANT A200 A_Wet - ALL C1200 B_Dry,0.03249831091561946,NA,1051,NA,NA
ANT A200 A_Wet - ANT C1200 B_Dry,-0.05565226229531145,NA,1051,NA,NA
ANT A200 A_Wet - CN1 C1200 B_Dry,-0.03273104832564292,NA,1051,NA,NA
ANT A200 A_Wet - VER C1200 B_Dry,0.02589733371461945,NA,1051,NA,NA
ANT A200 A_Wet - ALL D1700 B_Dry,0.023202441361982525,NA,1051,NA,NA
ANT A200 A_Wet - ANT D1700 B_Dry,-0.003153805859497309,NA,1051,NA,NA
ANT A200 A_Wet - CN1 D1700 B_Dry,-0.02007854534326943,NA,1051,NA,NA
ANT A200 A_Wet - VER D1700 B_Dry,0.036667111602028374,NA,1051,NA,NA
ANT A200 A_Wet - ALL E2200 B_Dry,-0.021373649028108243,NA,1051,NA,NA
ANT A200 A_Wet - ANT E2200 B_Dry,-0.059999005906201684,NA,1051,NA,NA
ANT A200 A_Wet - CN1 E2200 B_Dry,-0.09144658454371155,NA,1051,NA,NA
ANT A200 A_Wet - VER E2200 B_Dry,-0.11046512088376166,NA,1051,NA,NA
ANT A200 A_Wet - ALL F2700 B_Dry,0.027430654721369168,NA,1051,NA,NA
ANT A200 A_Wet - ANT F2700 B_Dry,-0.0616859439402797,NA,1051,NA,NA
ANT A200 A_Wet - CN1 F2700 B_Dry,-0.024017724435699668,NA,1051,NA,NA
ANT A200 A_Wet - VER F2700 B_Dry,0.019597831369886458,NA,1051,NA,NA
ANT A200 A_Wet - ALL G3200 B_Dry,0.22681527869264692,NA,1051,NA,NA
ANT A200 A_Wet - ANT G3200 B_Dry,-0.8143489605625888,NA,1051,NA,NA
ANT A200 A_Wet - CN1 G3200 B_Dry,-0.16210954537157468,NA,1051,NA,NA
ANT A200 A_Wet - VER G3200 B_Dry,-0.1302165294397578,NA,1051,NA,NA
ANT A200 A_Wet - ALL H3700 B_Dry,0.20856285383258663,NA,1051,NA,NA
ANT A200 A_Wet - ANT H3700 B_Dry,-0.832601385422649,NA,1051,NA,NA
ANT A200 A_Wet - CN1 H3700 B_Dry,-0.20312412760389814,NA,1051,NA,NA
ANT A200 A_Wet - VER H3700 B_Dry,-0.1305020443679591,NA,1051,NA,NA
CN1 A200 A_Wet - VER A200 A_Wet,0.07172462642847413,NA,1051,NA,NA
CN1 A200 A_Wet - ALL B700 A_Wet,0.036403888909583015,NA,1051,NA,NA
CN1 A200 A_Wet - ANT B700 A_Wet,0.005205363142382966,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 B700 A_Wet,0.010982037901182275,NA,1051,NA,NA
CN1 A200 A_Wet - VER B700 A_Wet,0.04943155846561415,NA,1051,NA,NA
CN1 A200 A_Wet - ALL C1200 A_Wet,0.04053278636603168,NA,1051,NA,NA
CN1 A200 A_Wet - ANT C1200 A_Wet,-0.04761778684489923,NA,1051,NA,NA
CN1 A200 A_Wet - CN1 C1200 A_Wet,-0.024696572875230693,NA,1051,NA,NA
